"day","year","hour","date","tag","ind"
"19200723","1920","123453","19200723123453","大暑","13"
"19200808","1920","045814","19200808045814","立秋","14"
"19200823","1920","192115","19200823192115","处暑","15"
"19200908","1920","072632","19200908072632","白露","16"
"19200923","1920","162805","19200923162805","秋分","17"
"19201008","1920","222908","19201008222908","寒露","18"
"19201024","1920","011239","19201024011239","霜降","19"
"19201108","1920","010454","19201108010454","立冬","20"
"19201122","1920","221523","19201122221523","小雪","21"
"19201207","1920","173016","19201207173016","大雪","22"
"19201222","1920","111656","19201222111656","冬至","23"
"19210106","1921","043340","19210106043340","小寒","0"
"19210120","1921","215439","19210120215439","大寒","1"
"19210204","1921","162012","19210204162012","立春","2"
"19210219","1921","121956","19210219121956","雨水","3"
"19210306","1921","104509","19210306104509","惊蛰","4"
"19210321","1921","115058","19210321115058","春分","5"
"19210405","1921","160841","19210405160841","清明","6"
"19210420","1921","233214","19210420233214","谷雨","7"
"19210506","1921","100417","19210506100417","立夏","8"
"19210521","1921","231640","19210521231640","小满","9"
"19210606","1921","144125","19210606144125","芒种","10"
"19210622","1921","073535","19210622073535","夏至","11"
"19210708","1921","010634","19210708010634","小暑","12"
"19210723","1921","183015","19210723183015","大暑","13"
"19210808","1921","104325","19210808104325","立秋","14"
"19210824","1921","011507","19210824011507","处暑","15"
"19210908","1921","130939","19210908130939","白露","16"
"19210923","1921","221942","19210923221942","秋分","17"
"19211009","1921","041036","19211009041036","寒露","18"
"19211024","1921","070215","19211024070215","霜降","19"
"19211108","1921","064530","19211108064530","立冬","20"
"19211123","1921","040427","19211123040427","小雪","21"
"19211207","1921","231125","19211207231125","大雪","22"
"19211222","1921","170723","19211222170723","冬至","23"
"19220106","1922","101655","19220106101655","小寒","0"
"19220121","1922","034754","19220121034754","大寒","1"
"19220204","1922","220624","19220204220624","立春","2"
"19220219","1922","181609","19220219181609","雨水","3"
"19220306","1922","163349","19220306163349","惊蛰","4"
"19220321","1922","174833","19220321174833","春分","5"
"19220405","1922","215800","19220405215800","清明","6"
"19220421","1922","052832","19220421052832","谷雨","7"
"19220506","1922","155250","19220506155250","立夏","8"
"19220522","1922","051013","19220522051013","小满","9"
"19220606","1922","203015","19220606203015","芒种","10"
"19220622","1922","132639","19220622132639","夏至","11"
"19220708","1922","065725","19220708065725","小暑","12"
"19220724","1922","001938","19220724001938","大暑","13"
"19220808","1922","163708","19220808163708","立秋","14"
"19220824","1922","070409","19220824070409","处暑","15"
"19220908","1922","190619","19220908190619","白露","16"
"19220924","1922","040932","19220924040932","秋分","17"
"19221009","1922","100925","19221009100925","寒露","18"
"19221024","1922","125252","19221024125252","霜降","19"
"19221108","1922","124512","19221108124512","立冬","20"
"19221123","1922","095509","19221123095509","小雪","21"
"19221208","1922","051038","19221208051038","大雪","22"
"19221222","1922","225652","19221222225652","冬至","23"
"19230106","1923","161400","19230106161400","小寒","0"
"19230121","1923","093445","19230121093445","大寒","1"
"19230205","1923","040017","19230205040017","立春","2"
"19230219","1923","235940","19230219235940","雨水","3"
"19230306","1923","222426","19230306222426","惊蛰","4"
